"","ISO","year","GDP Measure"
"1","ABW",1999,1.2380418420716
"2","ABW",2000,7.61658911307723
"3","ABW",2001,4.19596280335676
"4","ABW",2002,-0.957771005659552
"5","ABW",2003,1.12087912087912
"6","ABW",2004,7.28102586394262
"7","ABW",2005,-0.384927066450572
"8","ABW",2006,1.13890583689242
"9","ABW",2007,3.09672230042229
"10","ABW",2008,1.83343085625123
"11","ABW",2009,-11.6835855200153
"12","ABW",2010,-2.73259596616786
"13","ABW",2011,3.36677814938685
"14","ABW",2012,-1.03537532355479
"15","ABW",2013,6.42981691368789
"16","ABW",2014,-0.0204792135982075
"17","ABW",2015,3.54362965997541
"18","ABW",2016,2.11671612265083
"19","ABW",2017,5.48237117396357
"20","ABW",2018,5.25785567271588
"21","ABW",2019,0.635029268285663
"22","ABW",2020,-18.5890997764476
"23","ABW",2021,17.1725085129983
"24","AFE",1999,2.65228256199809
"25","AFE",2000,3.35397753939645
"26","AFE",2001,3.65322422774005
"27","AFE",2002,3.90525026694712
"28","AFE",2003,3.0960448630498
"29","AFE",2004,5.50731493728993
"30","AFE",2005,6.11692445270941
"31","AFE",2006,6.56131823677543
"32","AFE",2007,6.56877678509855
"33","AFE",2008,4.30248193382188
"34","AFE",2009,0.645423329221998
"35","AFE",2010,5.19713733939426
"36","AFE",2011,3.70019048397752
"37","AFE",2012,0.770097316747751
"38","AFE",2013,4.22940819721221
"39","AFE",2014,4.03908219250131
"40","AFE",2015,2.89572832317184
"41","AFE",2016,2.48595245002608
"42","AFE",2017,2.63953701909148
"43","AFE",2018,2.61079683956498
"44","AFE",2019,2.03829851920763
"45","AFE",2020,-3.04265314651346
"46","AFE",2021,4.40244666489478
"47","AFG",1999,NA
"48","AFG",2000,NA
"49","AFG",2001,NA
"50","AFG",2002,NA
"51","AFG",2003,8.83227781263571
"52","AFG",2004,1.41411798058979
"53","AFG",2005,11.2297148236429
"54","AFG",2006,5.35740325126351
"55","AFG",2007,13.8263195479763
"56","AFG",2008,3.92498382161573
"57","AFG",2009,21.3905283931066
"58","AFG",2010,14.3624414692681
"59","AFG",2011,0.426354784529209
"60","AFG",2012,12.7522870887171
"61","AFG",2013,5.60074465808154
"62","AFG",2014,2.72454336394854
"63","AFG",2015,1.45131466009755
"64","AFG",2016,2.26031420130452
"65","AFG",2017,2.64700320195786
"66","AFG",2018,1.18922812838034
"67","AFG",2019,3.911603419423
"68","AFG",2020,-2.35110067344623
"69","AFG",2021,-20.7371456208414
"70","AFW",1999,1.41507494573246
"71","AFW",2000,3.74366661670236
"72","AFW",2001,5.21766281315892
"73","AFW",2002,9.93814877322885
"74","AFW",2003,5.53211258339867
"75","AFW",2004,8.02283752807899
"76","AFW",2005,5.85289191452389
"77","AFW",2006,5.37976547612749
"78","AFW",2007,5.53913084124633
"79","AFW",2008,6.2830286583321
"80","AFW",2009,6.28838134284739
"81","AFW",2010,6.96542660958637
"82","AFW",2011,4.85204840851215
"83","AFW",2012,5.1355837221919
"84","AFW",2013,6.1087579516246
"85","AFW",2014,5.93044966738303
"86","AFW",2015,2.74513738741805
"87","AFW",2016,0.113686988857182
"88","AFW",2017,2.30562349545798
"89","AFW",2018,2.94617459918982
"90","AFW",2019,3.19087886773977
"91","AFW",2020,-0.90038189459645
"92","AFW",2021,3.96539855725513
"93","AGO",1999,2.18148971840458
"94","AGO",2000,3.05462423430785
"95","AGO",2001,4.2059985561951
"96","AGO",2002,13.6656887608562
"97","AGO",2003,2.99000000000001
"98","AGO",2004,10.9500000059465
"99","AGO",2005,15.0299999905513
"100","AGO",2006,11.549999997879
"101","AGO",2007,14.0100000086059
"102","AGO",2008,11.1699999942146
"103","AGO",2009,0.860000002152788
"104","AGO",2010,4.85999999863851
"105","AGO",2011,3.47000000135648
"106","AGO",2012,8.54000000289987
"107","AGO",2013,4.9499999975523
"108","AGO",2014,4.81999999862724
"109","AGO",2015,0.939999999384781
"110","AGO",2016,-2.5799999964437
"111","AGO",2017,-0.149999999638098
"112","AGO",2018,-1.31631210213166
"113","AGO",2019,-0.69999999780272
"114","AGO",2020,-5.60000000041939
"115","AGO",2021,1.09999999999965
"116","ALB",1999,12.8908036407763
"117","ALB",2000,6.94621659244254
"118","ALB",2001,8.29331263121023
"119","ALB",2002,4.53652416035675
"120","ALB",2003,5.52863746491788
"121","ALB",2004,5.51466791097914
"122","ALB",2005,5.52642424695465
"123","ALB",2006,5.90265903591924
"124","ALB",2007,5.98325951855567
"125","ALB",2008,7.50004143020151
"126","ALB",2009,3.35428934987461
"127","ALB",2010,3.70693815255319
"128","ALB",2011,2.54540614450104
"129","ALB",2012,1.4172427999078
"130","ALB",2013,1.00201754071108
"131","ALB",2014,1.77444885260394
"132","ALB",2015,2.21872637517804
"133","ALB",2016,3.31498068384137
"134","ALB",2017,3.80222740040676
"135","ALB",2018,4.01935968514439
"136","ALB",2019,2.08806337615015
"137","ALB",2020,-3.48163037314293
"138","ALB",2021,8.51550112324915
"139","AND",1999,4.0990789217793
"140","AND",2000,3.52836236122388
"141","AND",2001,8.11935772169949
"142","AND",2002,4.54636221364653
"143","AND",2003,8.69420371612468
"144","AND",2004,8.13567633837351
"145","AND",2005,5.39779598500422
"146","AND",2006,4.80868869916921
"147","AND",2007,1.55318814103222
"148","AND",2008,-5.55918636850581
"149","AND",2009,-5.30284654348291
"150","AND",2010,-1.97495799965345
"151","AND",2011,-0.00806975341139093
"152","AND",2012,-4.97444371853503
"153","AND",2013,-3.54759651549344
"154","AND",2014,2.50446552114518
"155","AND",2015,1.43414039522716
